designation,thread_system,nominal_diameter,nominal_diameter_unit,pitch,pitch_unit,tpi,coarse_fine,primary_tap_drill,primary_tap_drill_unit,primary_drill_convention,primary_tap_drill_status,iso_2306_alternative_drill,iso_2306_alternative_unit,iso_2306_alternative_status,standards,tap_types,record_status
M10x1.25,metric,10,mm,1.25,mm,,fine,8.8,mm,ISO 2306 metric convention,source_bound,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M10x1.5,metric,10,mm,1.5,mm,,coarse,8.5,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M12x1.25,metric,12,mm,1.25,mm,,fine,10.8,mm,ISO 2306 metric convention,source_bound,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M12x1.75,metric,12,mm,1.75,mm,,coarse,10.2,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M16x1.5,metric,16,mm,1.5,mm,,fine,14.5,mm,ISO 2306 metric convention,source_bound,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M16x2.0,metric,16,mm,2,mm,,coarse,14,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M20x2.0,metric,20,mm,2,mm,,fine,18,mm,ISO 2306 metric convention,source_bound,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M20x2.5,metric,20,mm,2.5,mm,,coarse,17.5,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M3x0.5,metric,3,mm,0.5,mm,,coarse,2.5,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M4x0.7,metric,4,mm,0.7,mm,,coarse,3.3,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M5x0.8,metric,5,mm,0.8,mm,,coarse,4.2,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M6x1,metric,6,mm,1,mm,,coarse,5,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
